source,target,weight,relationship_type
Beak,Fish,1.0,default
Beak,Grin,1.0,default
Beak,Haecksel,1.0,default
Beak,SN9,1.0,default
Beak,SN96,1.0,default
Beak,TR77,1.0,default
Beescratch,Jet,1.0,default
Beescratch,Knit,1.0,default
Beescratch,Notch,1.0,default
Beescratch,Number1,1.0,default
Beescratch,SN100,1.0,default
Beescratch,SN96,1.0,default
Beescratch,TR77,1.0,default
Beescratch,Upnow,1.0,default
Bumper,Fish,1.0,default
Bumper,SN96,1.0,default
Bumper,Thumper,1.0,default
Bumper,Zipfel,1.0,default
CCL,Double,1.0,default
CCL,Grin,1.0,default
CCL,Zap,1.0,default
Cross,Trigger,1.0,default
DN16,Feather,1.0,default
DN16,Gallatin,1.0,default
DN16,Wave,1.0,default
DN16,Web,1.0,default
DN21,Feather,1.0,default
DN21,Gallatin,1.0,default
DN21,Jet,1.0,default
DN21,Upnow,1.0,default
DN21,Wave,1.0,default
DN21,Web,1.0,default
DN63,Knit,1.0,default
DN63,Number1,1.0,default
DN63,PL,1.0,default
DN63,SN9,1.0,default
DN63,Upnow,1.0,default
Double,Kringel,1.0,default
Double,SN4,1.0,default
Double,Topless,1.0,default
Double,Zap,1.0,default
Feather,Gallatin,1.0,default
Feather,Ripplefluke,1.0,default
Feather,SN90,1.0,default
Feather,Web,1.0,default
Fish,Patchback,1.0,default
Fish,SN96,1.0,default
Fish,TR77,1.0,default
Five,Trigger,1.0,default
Fork,Scabs,1.0,default
Gallatin,Jet,1.0,default
Gallatin,Ripplefluke,1.0,default
Gallatin,SN90,1.0,default
Gallatin,Upnow,1.0,default
Gallatin,Web,1.0,default
Grin,Hook,1.0,default
Grin,MN83,1.0,default
Grin,SN4,1.0,default
Grin,SN63,1.0,default
Grin,SN9,1.0,default
Grin,Stripes,1.0,default
Grin,TR99,1.0,default
Haecksel,Jonah,1.0,default
Haecksel,MN83,1.0,default
Haecksel,SN9,1.0,default
Haecksel,Topless,1.0,default
Haecksel,Vito,1.0,default
Haecksel,Zap,1.0,default
Hook,Kringel,1.0,default
Hook,SN4,1.0,default
Hook,SN63,1.0,default
Hook,SN89,1.0,default
Hook,TR99,1.0,default
Jonah,Kringel,1.0,default
Jonah,MN105,1.0,default
Jonah,MN83,1.0,default
Jonah,Patchback,1.0,default
Jonah,Topless,1.0,default
Jonah,Trigger,1.0,default
Knit,PL,1.0,default
Knit,Upnow,1.0,default
Kringel,MN83,1.0,default
Kringel,Patchback,1.0,default
Kringel,SN100,1.0,default
Kringel,SN4,1.0,default
Kringel,SN63,1.0,default
Kringel,Thumper,1.0,default
Kringel,TR99,1.0,default
MN105,Patchback,1.0,default
MN105,Scabs,1.0,default
MN105,SN4,1.0,default
MN105,Topless,1.0,default
MN105,Trigger,1.0,default
MN105,TR99,1.0,default
MN60,SN4,1.0,default
MN60,Topless,1.0,default
MN60,Trigger,1.0,default
MN83,Patchback,1.0,default
MN83,SN4,1.0,default
MN83,Topless,1.0,default
MN83,Trigger,1.0,default
MN83,TR99,1.0,default
Mus,Notch,1.0,default
Mus,Number1,1.0,default
Mus,PL,1.0,default
Mus,SN4,1.0,default
Notch,Number1,1.0,default
Notch,Upnow,1.0,default
Number1,PL,1.0,default
Number1,SN96,1.0,default
Patchback,SMN5,1.0,default
Patchback,Stripes,1.0,default
Patchback,Topless,1.0,default
Patchback,Trigger,1.0,default
Patchback,TR99,1.0,default
PL,SN4,1.0,default
PL,SN96,1.0,default
PL,TR77,1.0,default
Ripplefluke,Scabs,1.0,default
Ripplefluke,SN90,1.0,default
Ripplefluke,Upnow,1.0,default
Ripplefluke,Zig,1.0,default
Scabs,Shallow,1.0,default
Scabs,SN4,1.0,default
Scabs,SN63,1.0,default
Scabs,SN9,1.0,default
Scabs,Stripes,1.0,default
Scabs,Topless,1.0,default
Scabs,TR99,1.0,default
Shallow,Topless,1.0,default
SMN5,Trigger,1.0,default
SN100,SN4,1.0,default
SN100,SN89,1.0,default
SN100,SN9,1.0,default
SN100,Zap,1.0,default
SN4,SN63,1.0,default
SN4,SN89,1.0,default
SN4,SN9,1.0,default
SN4,Stripes,1.0,default
SN4,Topless,1.0,default
SN4,Trigger,1.0,default
SN4,TR99,1.0,default
SN4,Zipfel,1.0,default
SN63,Stripes,1.0,default
SN63,Thumper,1.0,default
SN63,TR99,1.0,default
SN63,TSN83,1.0,default
SN89,Web,1.0,default
SN9,TSN103,1.0,default
SN9,TSN83,1.0,default
SN9,Upnow,1.0,default
SN9,Vito,1.0,default
SN9,Zipfel,1.0,default
SN90,Upnow,1.0,default
SN90,Web,1.0,default
SN96,TR77,1.0,default
SN96,TSN83,1.0,default
Stripes,TR99,1.0,default
Topless,TR99,1.0,default
Topless,Trigger,1.0,default
Topless,Zap,1.0,default
TR77,TR99,1.0,default
Trigger,Vito,1.0,default
TSN83,Zipfel,1.0,default
Upnow,Web,1.0,default
Vito,Zap,1.0,default
Wave,Web,1.0,default
Web,Zig,1.0,default
Zap,Zipfel,1.0,default
