source,target,weight,relationship_type
0,1,4,default
0,2,5,default
0,3,3,default
0,4,3,default
0,5,3,default
0,6,3,default
0,7,2,default
0,8,2,default
0,10,2,default
0,11,3,default
0,12,1,default
0,13,3,default
0,17,2,default
0,19,2,default
0,21,2,default
0,31,2,default
1,2,6,default
1,3,3,default
1,7,4,default
1,13,5,default
1,17,1,default
1,19,2,default
1,21,2,default
1,30,2,default
2,3,3,default
2,7,4,default
2,8,5,default
2,9,1,default
2,13,3,default
2,27,2,default
2,28,2,default
2,32,2,default
3,7,3,default
3,12,3,default
3,13,3,default
4,6,2,default
4,10,3,default
5,6,5,default
5,10,3,default
5,16,3,default
6,16,3,default
8,30,3,default
8,32,3,default
8,33,4,default
9,33,2,default
13,33,3,default
14,32,3,default
14,33,2,default
15,32,3,default
15,33,4,default
18,32,1,default
18,33,2,default
19,33,1,default
20,32,3,default
20,33,1,default
22,32,2,default
22,33,3,default
23,25,5,default
23,27,4,default
23,29,3,default
23,32,5,default
23,33,4,default
24,25,2,default
24,27,3,default
24,31,2,default
25,31,7,default
26,29,4,default
26,33,2,default
27,33,4,default
28,31,2,default
28,33,2,default
29,32,4,default
29,33,2,default
30,32,3,default
30,33,3,default
31,32,4,default
31,33,4,default
32,33,5,default
